敵のID,座標1X座標,座標1Y座標,座標1Z座標,座標2X座標orEnemyShotのRotX,座標2Y座標orEnemyShotのRotY,座標2Z座標orEnemyShotのRotZ,移動制限X座標,移動制限Z座標,移動制限X距離,移動制限Z距離,敵の種類,コインの有無
0,120,-10,-430,340,-10,-430,230,-420,110,160,0,1
1,80,110,-210,-80,110,-210,0,-180,85,100,0,0
2,0,110,-760,0,110,-940,0,-750,130,190,0,0
3,430,366,-1200,640,366,-1200,535,-1155,105,245,0,0
4,640,366,-1030,430,366,-1030,535,-1155,105,245,0,1
5,-230,-10,-500,0,180,0,0,0,0,0,1,1
6,190,366,-1500,0,0,0,0,0,0,0,1,0
7,300,366,-1660,0,180,0,0,0,0,0,1,0
8,130,110,-850,-130,110,-850,0,-750,130,190,2,1
9,350,366,-1580,150,366,-1580,255,-1580,155,150,2,0
10,618,366,-165,460,366,-165,539,-165,79,100,2,0
